"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6 euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Offshore circalittoral sand",22.06,1564,2746.01,14.05,51.71,2.34,0.98,0.9,0.55
"Offshore circalittoral mud",15.67,1234,1046.81,34.14,72.81,4.65,1,0.97,0.53
"Circalittoral sand",10.07,1071,86.14,14.21,40.55,4.03,0.97,0.83,0.36
"Offshore circalittoral coarse sediment",9.18,996,809.08,7.31,24.57,2.68,0.99,0.93,0.49
"Circalittoral coarse sediment",8.23,1055,83.51,20.31,53.18,6.47,0.98,0.87,0.29
"Circalittoral rock and biogenic reef",2.94,614,0.39,1.68,3.16,1.08,0.94,0.44,0.27
"Circalittoral mud",2.67,534,10.91,2.13,5.41,2.03,0.92,0.59,0.22
"Offshore circalittoral rock and biogenic reef",2.09,377,179.35,2.6,5.38,2.57,0.99,0.93,0.48
"Offshore circalittoral mixed sediment",2.05,293,28.74,10.02,17.12,8.36,1,0.99,0.44
"Infralittoral rock and biogenic reef",0.85,391,0.02,0.07,0.12,0.14,0.57,0.09,0.13
"Infralittoral sand",0.72,375,0.05,0.19,0.37,0.51,0.65,0.17,0.05
"Infralittoral mud",0.37,199,0.01,0.04,0.09,0.25,0.36,0.06,0.03
"Infralittoral coarse sediment",0.36,288,0.02,0.03,0.02,0.05,0.57,0.04,0.15
"Upper bathyal sediment",0.25,54,76.77,0.12,0.55,2.17,1,0.78,0.43
"Circalittoral mixed sediment",0.24,80,2.11,0.37,1.1,4.58,0.97,0.91,0.3
"Unknown",0.2,403,2.11,0.05,0.11,0.58,0.62,0.35,0.04
"Infralittoral mixed sediment",0.06,50,0,0,0,0.04,0.37,0.04,0.08
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",0,1,0,0,0,1.4,1,1,NA
