"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Offshore circalittoral mud",21.16,2533,14.8,11.99,34.29,1.62,0.61,0.51,0.22
"Offshore circalittoral mixed sediment",19.52,2978,7.37,6.91,21.03,1.08,0.43,0.27,0.1
"Circalittoral sand",33.07,6575,6.31,5.41,16,0.48,0.46,0.22,0.08
"Infralittoral sand",24.1,3888,3.33,3.08,11.02,0.46,0.55,0.22,0.1
"Circalittoral mud",22.81,5812,5.24,4.9,10.86,0.48,0.28,0.19,0.05
"Circalittoral mixed sediment",106.88,13585,5.52,3.16,5.95,0.06,0.13,0.03,0.03
"Offshore circalittoral sand",2.74,777,1.84,1.63,4.89,1.78,0.75,0.52,0.21
"Circalittoral mud or Circalittoral sand",53.9,7756,3.76,2.23,4.45,0.08,0.17,0.06,0.03
"Offshore circalittoral mud or Offshore circalittoral sand",33.81,3095,1.23,0.97,2.76,0.08,0.24,0.06,0.06
"Infralittoral mixed sediment",18.77,5590,0.48,0.79,0.86,0.05,0.16,0.03,0.03
"Infralittoral mud",1.83,1235,0.3,0.35,0.69,0.37,0.36,0.17,0.05
"Infralittoral coarse sediment",6.95,2449,0.28,0.27,0.51,0.07,0.28,0.05,0.06
"Circalittoral coarse sediment",12.21,4679,0.41,0.23,0.5,0.04,0.19,0.03,0.04
"Circalittoral rock and biogenic reef",6.84,3334,0.04,0.02,0.05,0.01,0.05,0.01,0.01
"Infralittoral rock and biogenic reef",3.94,2303,0.01,0.01,0.04,0.01,0.08,0.01,0.01
"Infralittoral mud or Infralittoral sand",3.88,1497,0.07,0.08,0.02,0.01,0.03,0.01,0.01
"Offshore circalittoral coarse sediment",0.72,536,0.01,0.01,0.02,0.02,0.14,0.02,0.02
"Offshore circalittoral rock and biogenic reef",0.18,238,0,0,0,0,0.02,0,0.02
"Unknown",0.17,100,0,0,0,0,0,0,NA
